id,title,type,release_year,age_certification,genres,imdb_id,imdb_score
ts300399,Five Came Back: The Reference Films,SHOW,1945,TV-MA,['documentation'],,
tm84618,Taxi Driver,MOVIE,1976,R,"['crime', 'drama']",tt0075314,8.3
tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,"['comedy', 'fantasy']",tt0071853,8.2
tm70993,Life of Brian,MOVIE,1979,R,['comedy'],tt0079470,8
tm190788,The Exorcist,MOVIE,1973,R,['horror'],tt0070047,8.1
ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,"['comedy', 'european']",tt0063929,8.8
tm14873,Dirty Harry,MOVIE,1971,R,"['thriller', 'crime', 'action']",tt0066999,7.7
tm185072,My Fair Lady,MOVIE,1964,G,"['drama', 'music', 'romance', 'family']",tt0058385,7.8
tm98978,The Blue Lagoon,MOVIE,1980,R,"['romance', 'drama']",tt0080453,5.8
tm119281,Bonnie and Clyde,MOVIE,1967,R,"['drama', 'crime', 'action']",tt0061418,7.7
tm67378,The Professionals,MOVIE,1966,PG-13,"['western', 'action', 'european']",tt0060862,7.3
tm44204,The Guns of Navarone,MOVIE,1961,,"['war', 'action', 'drama']",tt0054953,7.5
tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,"['comedy', 'animation', 'action', 'fantasy', 'family']",tt0079833,7.6
tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,"['comedy', 'documentation']",tt0079807,8.1
tm96649,The Long Riders,MOVIE,1980,R,"['western', 'crime']",tt0081071,6.9
tm16479,White Christmas,MOVIE,1954,,"['romance', 'comedy', 'music']",tt0047673,7.5
tm135083,Cairo Station,MOVIE,1958,,"['drama', 'crime', 'comedy']",tt0051390,7.5
tm14491,The Queen,MOVIE,1968,,['documentation'],tt0183686,7.2
tm89386,Hitler: A Career,MOVIE,1977,PG,"['documentation', 'history', 'european']",tt0191182,7.5
tm156453,FTA,MOVIE,1972,R,"['comedy', 'documentation', 'music']",tt0068562,6.2
tm27298,Saladin the Victorious,MOVIE,1963,,"['drama', 'war', 'action', 'history', 'romance']",tt0057357,7.6
tm356209,Singapore,MOVIE,1960,,"['drama', 'thriller', 'crime']",tt0268639,6.4
tm204541,Dark Waters,MOVIE,1956,,"['drama', 'action', 'romance', 'thriller']",tt0049761,6.7
tm14350,Alexandria… Why?,MOVIE,1979,,['drama'],tt0077751,7.2
tm102287,Raya and Sakina,MOVIE,1953,,"['drama', 'thriller', 'crime', 'history']",tt0316472,6.8
tm76557,No Longer Kids,MOVIE,1979,,"['comedy', 'drama']",tt8312792,9
tm71909,Amrapali,MOVIE,1966,,['fantasy'],tt0060104,6.7
tm94651,Dostana,MOVIE,1980,,"['drama', 'comedy', 'romance', 'action', 'crime']",tt0080653,2.1
tm19608,The Blazing Sun,MOVIE,1954,,"['romance', 'crime', 'drama']",tt0044429,7.4
ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,['comedy'],tt0202477,8.1
tm90896,The Return of the Prodigal Son,MOVIE,1976,,"['drama', 'crime']",tt0074168,7.2
tm75975,Prince,MOVIE,1969,,['romance'],tt0064842,6.9
tm97793,Lock Your Girls In,MOVIE,1980,,['comedy'],,
tm85426,The Witness Who Didn't See Anything,MOVIE,1976,,['comedy'],,
tm188894,The School of Mischief,MOVIE,1973,,['comedy'],,
tm107372,Manoranjan,MOVIE,1974,,"['comedy', 'drama', 'romance']",tt0071811,6.5
tm200475,"Beirut, Oh Beirut",MOVIE,1975,,['drama'],tt0169599,6.5
tm259855,We Are All for the Fatherland,MOVIE,1979,,['documentation'],tt0170799,6.2
tm259684,Whispers,MOVIE,1980,,['documentation'],tt0170803,7.8
tm344089,Lal Patthar,MOVIE,1971,,['drama'],tt0237395,6.2
tm358653,Ujala,MOVIE,1959,,"['romance', 'crime', 'drama']",tt0157132,6.7
tm100027,Alibaba Aur 40 Chor,MOVIE,1979,,"['drama', 'action', 'romance', 'family', 'fantasy']",tt0079749,6.2
tm10204,Professor,MOVIE,1962,,"['romance', 'comedy', 'drama']",tt0056379,6.8
tm403346,Chadi Jawani Budhe Nu,MOVIE,1976,,['romance'],tt3290368,4.6
tm16812,Bandie,MOVIE,1978,,"['drama', 'romance', 'action']",tt1219315,4.2
tm336403,Khoon Khoon,MOVIE,1973,,"['drama', 'crime', 'thriller']",tt0230412,5.1
tm119776,Top Gun,MOVIE,1986,PG,"['drama', 'action']",tt0092099,6.9
ts20681,Seinfeld,SHOW,1989,TV-PG,['comedy'],tt0098904,8.9
tm111075,Stand by Me,MOVIE,1986,R,['drama'],tt0092005,8.1
tm180542,Once Upon a Time in America,MOVIE,1984,R,"['drama', 'crime', 'european']",tt0087843,8.3
tm138875,When Harry Met Sally...,MOVIE,1989,R,"['romance', 'comedy', 'drama']",tt0098635,7.7
tm155792,Teenage Mutant Ninja Turtles,MOVIE,1990,PG,"['scifi', 'action', 'comedy', 'family']",tt0100758,6.7
tm22327,Full Metal Jacket,MOVIE,1987,R,"['drama', 'war']",tt0093058,8.3
tm54450,Christine,MOVIE,1983,R,"['horror', 'thriller', 'european']",tt0085333,6.7
